Station Number,State,Temp Min,Temp Max,DO Min,DO Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Faecal Coliform Min,Faecal Coliform Max,Total Coliform Min,Total Coliform Max
3634,KARNATAKA,22,37,2.3,9,6.7,8.5,471,1623,3,19,0,33,10900,790000,54200,1720000
3635,KARNATAKA,22,38.7,2.4,12.2,6.8,7.9,863,1701,6,27,0.1,6.8,7900,1300000,13000,5420000
3637,KARNATAKA,26,35,0.9,3.5,6.8,8.1,989,1488,7,18,0.4,7,34000,1720000,100000,3480000
3640,KARNATAKA,24,37.4,2.6,6.7,6.6,8.1,7,1150,1,105,0.1,36,4900,790000,34800,2400000
3641,KARNATAKA,25,38.2,0.4,11.5,7,8.9,374,886,4,78,0,45,4600,2210000,17500,5420000
3648,KARNATAKA,27,34,4.3,9.8,6.7,7.7,141,429,3,7,0,21,10900,4260000,94000,3450000
3650,KARNATAKA,26,34,1.5,13.5,6.8,8.2,614,1733,8,23,1.1,49,7000,2400000,22100,3480000
3651,KARNATAKA,26,34,0.5,5.6,6.8,7.4,1369,2050,10,21,1.6,53,23000,9400000,13000,22100000
3653,KARNATAKA,28,35,5.8,7.8,6.5,7.8,185,410,3,4,0.2,5.8,330,7000000,790,12000000
3654,KARNATAKA,28,33,3.9,8.6,6.8,8.6,1016,2590,5,18,0.7,31,13000,940000,34800,1200000
3656,KARNATAKA,27,27,6.5,6.5,7.4,7.4,480,480,2,2,0.2,0.2,410,410,2400,2400
3657,KARNATAKA,25,26,2.7,3.4,7.4,8.2,390,910,5,6,0.1,0.2,170,790,1100,3500
3662,KARNATAKA,25,25,5.4,8.9,8.1,8.9,400,950,3,9,0,0.2,350,940,210,4300
3663,KARNATAKA,25,26,6.5,6.9,8.2,8.2,440,510,3,5,0.1,0.2,490,580,2400,2800
3664,KARNATAKA,26,26,6.8,6.8,8.1,8.1,420,420,2,2,0.1,0.1,430,430,1600,1600
3665,KARNATAKA,24,27,2.6,7.9,7.6,8.2,470,670,5,12,0.1,0.2,310,940,2100,4300
3666,KARNATAKA,27,27,6.1,7.2,7.3,8.2,400,420,1,4,0,0.3,220,700,1600,2800
3668,KARNATAKA,26,28,5.2,9.3,7.4,8.3,280,540,3,8,0.1,0.2,280,490,1600,2400
3670,KARNATAKA,26,26,6.7,6.7,7.6,7.6,380,380,2,2,0.1,0.1,330,330,2400,2400
3671,KARNATAKA,26,26,4.5,6.5,7.8,8.8,320,390,2,4,0,1,260,580,1200,2100
3672,KARNATAKA,28,28,6.4,6.4,7.7,7.7,610,610,3,3,0.1,0.1,330,330,2100,2100
3673,KARNATAKA,26,27,2.1,7.4,7.2,8.3,330,2000,4,15,0,0.2,310,1200,1700,4300
3674,KARNATAKA,27,27,4.8,4.8,7.5,7.5,410,410,3,3,0.2,0.2,700,700,4300,4300
3675,KARNATAKA,28,28,6.7,6.7,7,7,460,460,4,4,0.1,0.1,480,480,2100,2100
3676,KARNATAKA,27,28,4,6.4,7.4,8.2,400,480,4,5,0.3,0.3,580,840,2800,3500
3677,KARNATAKA,26,32,5.1,7.4,8.4,9,765,2220,3.5,18,0,0.5,30,900,46,1600
